"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C33";"C_0201_0603Metric";1;"100muF";;;
2;"L2";"CAPC1005X55N";1;"GJM1555C1H470JB01D";;;
3;"D8,D6,D4,D5";"SOD3716X135N";4;"MBRX120LF-TP";;;
4;"C30";"C_0201_0603Metric";1;"10nF";;;
5;"R33,R8,R14,R10,R12,R29,R28,R4,R16,R6";"R_0805_2012Metric";10;"100K";;;
6;"U9";"PCMD3180IRTWR";1;"PCMD3180IRTWR";;;
7;"TP8,TP2,TP1,TP7";"TestPoint_Pad_D1.0mm";4;"TestPoint";;;
8;"C32,C9,C1,C24,C11,C15,C13,C5,C18,C3,C7,C25,C21";"C_0805_2012Metric";13;"100nF";;;
9;"JP1";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"SolderJumper_2_Bridged";;;
10;"C26,C22,C23";"C_0805_2012Metric";3;"10uF";;;
11;"U4,U7,U5,U8,U6,U1,U3,U2";"IFX-PG-TLGA-5N-9-V";8;"IM66D132H";;;
12;"R17,R2,R7,R1,R11,R9,R13,R5,R15,R3";"R_0805_2012Metric";10;"100R";;;
13;"J8";"PinHeader_1x08_P1.00mm_Vertical";1;"Conn_01x08";;;
14;"D7";"D_MiniMELF";1;"BZV55B5V1";;;
15;"C12,C2,C6,C14,C8,C16,C4,C10";"C_0805_2012Metric";8;"47pF";;;
16;"U11";"BQ25185DLHR";1;"BQ25185DLHR";;;
17;"J1,J12,J11";"PinHeader_1x02_P1.00mm_Vertical";3;"Conn_01x02";;;
18;"C34,C35";"C_0805_2012Metric";2;"0.1uF";;;
19;"R36";"R_0805_2012Metric";1;"NC";;;
20;"J5,J7";"PinHeader_1x04_P1.00mm_Vertical";2;"Conn_01x04";;;
21;"R18,R19";"R_0805_2012Metric";2;"330R";;;
22;"R38,R22";"R_0805_2012Metric";2;"10K";;;
23;"U12,U15";"AO6604";2;"AO6604";;;
24;"R23,R21";"R_0805_2012Metric";2;"1K";;;
25;"U19";"MAX-M10M-00B";1;"MAX-M10M-00B";;;
26;"J6,J4";"PinHeader_1x07_P1.00mm_Vertical";2;"Conn_01x07";;;
27;"C44,C43";"C_0805_2012Metric";2;"1µF";;;
28;"FAULT1,CHG1";"LEDC2012X100N";2;"SFH_2716_A01";;;
29;"D2";"SOT-323_SC-70";1;"BAT54AW";;;
30;"SW3,SW2";"SW4_PTS815 SJM 250 SMTR LFS_CNK";2;"PTS815 SJM 250 SMTR LFS";;;
31;"R26";"R_0805_2012Metric";1;"5.1k";;;
32;"R34";"R_0805_2012Metric";1;"1k";;;
33;"R25";"R_0805_2012Metric";1;"6.8k";;;
34;"C20,C19,C17";"C_0805_2012Metric";3;"1uF";;;
35;"U14";"SOT95P280X110-6N";1;"TPL5111DDCR";;;
36;"C29,C27,C28,C38";"C_0805_2012Metric";4;"22uF";;;
37;"D1";"LED-APA102-2020";1;"APHF1608LSEEQBDZGKC";;;
38;"R35,R39";"R_0805_2012Metric";2;"100k";;;
39;"U13";"TPS62842DGRR";1;"TPS62842DGRR";;;
40;"R37,R30";"R_0805_2012Metric";2;"1M";;;
41;"L1";"1286ASH1R0MP2";1;"DFE201612E-2R2M=P2";;;
42;"J9";"101181920002LF";1;"USB_B_Micro";;;
43;"J3,J2";"CONN_RJHSE-3380_AMP";2;"RJ45";;;
44;"C41";"C_0805_2012Metric";1;"4.7µF";;;
45;"U18";"SOT-23-3L_AOS";1;"AO3407A";;;
46;"C40";"C_0805_2012Metric";1;"10µF";;;
47;"F3";"MINISMDC050F2";1;"Polyfuse";;;
48;"U10";"Teensy41";1;"Teensy4.1";;;
49;"R20";"R_0805_2012Metric";1;"750R";;;
50;"C39";"C_0201_0603Metric";1;"47pF";;;
51;"R27";"R_0805_2012Metric";1;"10k";;;
52;"J10";"CONN_73251-1150_MOL";1;"732511150";;;
53;"BAT1";"79523211";1;"3034";;;
54;"S2";"SLW126894AND";1;"SLW-12689-4A-N-D";;;
55;"R24";"R_0805_2012Metric";1;"300";;;
56;"U16";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"TXS0108EPW";;;
57;"U17";"DBV0005A_N";1;"LP5907MFX-1.8/NOPB";;;
58;"R40";"R_0805_2012Metric";1;"267K";;;
59;"R31";"R_0805_2012Metric";1;"105K";;;
