Designator,Value,Footprint,Quantity, Manufacturer_Name, Manufacturer_Part_Number,Supplier part number,Supplier,Annotation
"C1, C3, C5, C7, C9, C13, C15, C18, C21, C24, C25, C32, C34, C35, C37, C45",100nF,C_0805_2012Metric,17,,,0805-100nF-50V,PCBTrain,Newbury free stock
"C2, C4, C6, C8, C10, C14, C16",47pF,C_0805_2012Metric,8,,,0805-47pF-50V,PCBTrain,Newbury free stock
"C17, C19, C20, C43, C44",1µF,C_0805_2012Metric,4,,,0805-1uF-25V,PCBTrain,Newbury free stock
"C22, C23, C26, C40",10uF,C_0805_2012Metric,4,,,0805-10uF-16V,PCBTrain,Newbury free stock
"C27, C28, C29, C38",22uF,C_0805_2012Metric,4,,,0805-22uF-16V,PCBTrain,Newbury free stock
"C41, C42",4.7µF,C_0805_2012Metric,2,,,0805-4.7uF-25V,PCBTrain,Newbury free stock
"R2, R4, R6, R8, R10, R12, R14, R16, R22, R28, R29, R32, R33, R35",100K,R_0805_2012Metric,14,,,0805-100K,PCBTrain,Newbury free stock
"R1, R3, R5, R7, R9, R13, R15, R17, R50, R51",100R,R_0805_2012Metric,10,,,0805-100R,PCBTrain,Newbury free stock
"R21, R23, R34, R36",1K,R_0805_2012Metric,4,,,0805-1K,PCBTrain,Newbury free stock
"R18, R19",330R,R_0805_2012Metric,2,,,0805-330R,PCBTrain,Newbury free stock
"R27, R38",10K,R_0805_2012Metric,2,,,0805-10K,PCBTrain,Newbury free stock
"R30, R37",1M,R_0805_2012Metric,2,,,0805-1M,PCBTrain,Newbury free stock
R20,750R,R_0805_2012Metric,1,,,0805-750R,PCBTrain,Newbury free stock
R24,300R,R_0805_2012Metric,1,,,0805-300,PCBTrain,Newbury free stock
R25,6.8k,R_0805_2012Metric,1,Vishay,TNPW06036K80BEEA,71-TNPW06036K80BEEA,Mouser,
R26,5.1k,R_0805_2012Metric,1,Vishay,TNPW08055K10BEEN,71-TNPW08055K10BEEN,Mouser,
R31,105K,R_0805_2012Metric,1,Vishay,CRCW0805105KFKEAC,71-CRCW0805105KFKEAC,Mouser,
R40,267K,R_0805_2012Metric,1,Vishay,CRCW0805267KFKEA,71-CRCW0805267KFKEA,Mouser,
L1,DFE201612E-2R2M=P2,1286ASH1R0MP2,1, Murata Electronics,DFE201612E-2R2M=P2,81-DFE201612E-2R2MP2,Mouser,
"D5, D6,D8",MBRX120LF-TP,SOD3716X135N,3,Micro Commercial Components (MCC) ,MBRX120LF-TP,833-MBRX120LF-TP,Mouser,
D1,APHF1608LSEEQBDZGKC,LED-APA102-2020,1,Kingbright ,APHF1608LSEEQBDZGKC,604-APHF1608LQBDZGKC,Mouser,
D2,BAT54AW,SOT-323_SC-70,1,Diotec Semiconductor ,BAT54AW,637-BAT54AW,Mouser,
"U1, U2, U3, U4, U5, U7, U8",IM66D132H,IFX-PG-TLGA-5N-9-V,8,Infineon Technologies ,IM66D132HV01XTMA1,726-IM66D132HV01XTMA,Mouser,
"U12, U15",AO6604,AO6604,2,Alpha & Omega Semiconductor Inc.,AO6604,AO6604,Digikey,
U9,PCMD3180IRTWR,PCMD3180IRTWR,1,Texas Instruments,PCMD3180IRTWR,595-PCMD3180IRTWR,Mouser,
U11,BQ25185DLHR,BQ25185DLHR,1,Texas Instruments,BQ25185DLHR,595-BQ25185DLHR,Mouser,
U13,TPS62842DGRR,TPS62842DGRR,1,Texas Instruments,TPS62842DGRR,595-TPS62842DGRR,Mouser,
U14,TPL5111DDCR,SOT95P280X110-6N,1,Texas Instruments,TPL5111DDCR,595-TPL5111DDCR,Mouser,
U16,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,1,Texas Instruments,TXS0108EPWR,595-TXS0108EPWR,Mouser,
U17,LP5907MFX-1.8/NOPB,DBV0005A_N,1,Texas Instruments,LP5907MFX-1.8/NOPB,595-LP5907MFX-1.8NPB,Mouser,
U19,L86-M33,L80-M39,1,Quectel,L86-M33,277-L86-M33,Mouser,
U20,AO3407A,SOT-23-3L_AOS,1,Infineon Technologies ,IRLML9301TRPBF,942-IRLML9301TRPBF,Mouser,
"F3,F1",Polyfuse,MINISMDC050F2,2,Littelfuse ,MINISMDC050F-2,650-MINISMDC050F-2,Mouser,
"SW2, SW3",PTS815 SJM 250 SMTR LFS,SW4_PTS815 SJM 250 SMTR LFS_CNK,2,C&K ,PTS815SJM250SMTR LFS,611-PTS815SJM250SMTR,Mouser,
"ANT_DBG, CHG1, FAULT1",SFH_2716_A01,LEDC2012X100N,3,ams OSRAM ,SFH 2716 A01,720-SFH2716A01A0954,Mouser,
"S1, S2",SLW-12689-4A-N-D,SLW126894AND,2,Same Sky ,SLW-12689-4A-N-D,179-SLW126894AND,Mouser,
BAT1,3034,79523211,1,Wurth Elektronik,79523211,710-79523211,Mouser,
Q2,DTC143ZEBTL,SOTFL50P160X85-3N,1,ROHM Semiconductor,DTC143ZEBTL,755-DTC143ZEBTL,Mouser,
"J2, J3",RJ45,CONN_RJHSE-3380_AMP,2,Amphenol Commercial Products ,RJHSE3380A1,523-RJHSE3380A1,Mouser,
J9,USB_B_Micro,101181920002LF,1,Amphenol FCI,10118192-0002LF,649-10118192-0002LF,Mouser,
J10,732511150,CONN_73251-1150_MOL,1,Molex,73251-1150,538-73251-1150,Mouser,
